paper_id	0	1	2	3	4	5	6	decision
sXNVFBc-0aP	8.0	6.0	5.0					Unknown
h-z_zqT2yJU	6.0	6.0	6.0	5.0				Unknown
u2JeVfXIQa	6.0	8.0	5.0	5.0				Unknown
figzpGMrdD	3.0	5.0	6.0	8.0				Unknown
XIZaWGCPl0b	5.0	6.0	5.0	8.0				Unknown
cOtBRgsf2fO	8.0	6.0	6.0					Unknown
KdcLdLuIjQT	5.0	5.0	5.0					Unknown
ZOcX-eybqoL	6.0	6.0	8.0	5.0	5.0	5.0		Unknown
BZnnMbt0pW	8.0	6.0	8.0					Unknown
PtuQ8bk9xF5	3.0	5.0	5.0					Unknown
_QLmakITKg	6.0	3.0	8.0	3.0				Unknown
mF122BuAnnW	3.0	8.0	3.0	5.0				Unknown
VQhFC3Ki5C	5.0	1.0	6.0	5.0				Unknown
B7ZbqNLDn-_	5.0	8.0	8.0	8.0				Unknown
H4PmOqSZDY	6.0	8.0	6.0	3.0				Unknown
__ObYt4753c	6.0	5.0	5.0					Unknown
vIC-xLFuM6	3.0	6.0	6.0					Unknown
xNOVfCCvDpM	6.0	6.0	6.0					Unknown
qyTBxTztIpQ	8.0	5.0	6.0					Unknown
youe3QQepVB	6.0	5.0	5.0					Unknown
3mgYqlH60Uj	6.0	5.0	6.0	6.0				Unknown
5ALGcXpmFyC	5.0	3.0	6.0	6.0				Unknown
WxuE_JWxjkW	6.0	8.0	3.0	8.0				Unknown
cMBKc-0OTY5	5.0	3.0	6.0	3.0				Unknown
eDjxhFbaWX	5.0	1.0	3.0	6.0				Unknown
kj0_45Y4r9i	5.0	8.0	6.0	6.0				Unknown
Ow1C7s3UcY	8.0	6.0	8.0	8.0				Unknown
CTOJRqLMsl	5.0	3.0	5.0	8.0				Unknown
wmQCFqV9r8L	3.0	5.0	3.0	5.0	5.0			Unknown
r4PibJdCyn	3.0	3.0	3.0	3.0				Unknown
9FfAEgUYGON	6.0	3.0	6.0	6.0				Unknown
OXRZeMmOI7a	5.0	8.0	6.0	8.0				Unknown
7VH_ZMpwZXa	5.0	5.0	6.0	6.0				Unknown
89W18gW0-6o	5.0	6.0	5.0	6.0				Unknown
ugxdsne_TlO	5.0	1.0	5.0					Unknown
p4H9QlbJvx	8.0	3.0	5.0	5.0				Unknown
TNBTpPO0QX	6.0	5.0	3.0	5.0				Unknown
W5PbuwQFzZx	5.0	6.0	5.0					Unknown
v3LXWP63qOZ	5.0	3.0	6.0	3.0				Unknown
ue4CArRAsct	6.0	8.0	5.0	6.0				Unknown
ks_uMcTPyW4	5.0	6.0	6.0					Unknown
0ze7XgWcYNV	5.0	3.0	3.0					Unknown
UxTR9Z2DW8R	3.0	3.0	5.0	8.0				Unknown
rJvY_5OzoI	6.0	8.0	6.0	6.0	8.0			Unknown
T_8wHvOkEi9	3.0	3.0	8.0					Unknown
3GHHpYrYils	3.0	5.0	6.0	5.0				Unknown
vKMVrqvXbXu	8.0	5.0	6.0	5.0				Unknown
SlxSY2UZQT	6.0	8.0	8.0					Unknown
5ziLr3pWz77	3.0	3.0	5.0	3.0				Unknown
73MEhZ0anV	6.0	6.0	6.0	5.0				Unknown
lY0-7bj0Vfz	5.0	5.0	8.0					Unknown
rS9-7AuPKWK	5.0	5.0	5.0	5.0				Unknown
p98WJxUC3Ca	6.0	6.0	6.0	6.0				Unknown
wQ7RCayXUSl	3.0	5.0	5.0	3.0	5.0			Unknown
_4D8IVs7yO8	5.0	5.0	6.0	5.0	5.0			Unknown
S6eHczgYpnu	5.0	3.0	6.0	3.0	5.0			Unknown
Nfl-iXa-y7R	6.0	8.0	8.0	8.0				Unknown
lyLVzukXi08	6.0	8.0	6.0					Unknown
IpctgL7khPp	8.0	5.0	6.0					Unknown
JHXjK94yH-y	5.0	3.0	5.0					Unknown
WLEx3Jo4QaB	6.0	6.0	5.0	6.0				Unknown
SwIp410B6aQ	6.0	6.0	8.0	6.0	6.0			Unknown
TQ75Md-FqQp	10.0	3.0	8.0					Unknown
PQQp7AJwz3	6.0	6.0	6.0	8.0				Unknown
1bEaEzGwfhP	5.0	3.0	5.0	5.0				Unknown
L1L2G43k14n	6.0	5.0	5.0	3.0	3.0			Unknown
XOh5x-vxsrV	6.0	3.0	6.0	6.0				Unknown
9XhPLAjjRB	6.0	8.0	8.0	6.0	8.0			Unknown
eGd34W56KIT	6.0	8.0	3.0	6.0				Unknown
vnF5gDNvcKX	5.0	5.0	5.0	5.0				Unknown
2t7CkQXNpuq	6.0	6.0	6.0					Unknown
Ivku4TZgEly	5.0	5.0	5.0					Unknown
Muwg-ncP_ec	6.0	3.0	3.0	3.0				Unknown
JYtwGwIL7ye	6.0	6.0	6.0	8.0				Unknown
R2aCiGQ9Qc	3.0	6.0	6.0	5.0				Unknown
GIBm-_kax6	5.0	3.0	6.0	6.0	6.0			Unknown
wQfgfb8VKTn	8.0	6.0	6.0	8.0				Unknown
5MLb3cLCJY	6.0	6.0	6.0	6.0				Unknown
iMH1e5k7n3L	8.0	8.0	8.0					Unknown
wfRZkDvxOqj	6.0	5.0	5.0	6.0				Unknown
tG8QrhMwEqS	5.0	5.0	3.0					Unknown
bfuGjlCwAq	3.0	6.0	6.0	8.0				Unknown
wClmeg9u7G	5.0	3.0	5.0	3.0				Unknown
gex-2G2bLdh	3.0	5.0	6.0	8.0				Unknown
zhynF6JnC4q	3.0	6.0	6.0	6.0				Unknown
